## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.Type,entity.DemoScope,entity.Set,entity.ImageType,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10
prod001,Product A,Products,Recommended Product Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product1.png,150,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product1.png,100,50,Product,ATDemo,Set1,Square,,,,,,
prod002,Product B,Products,Recommended Product Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product2.png,150,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product2.png,100,25,Product,ATDemo,Set2,Square,,,,,,
prod003,Product C,Products,Recommended Product Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product3.png,125,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product3.png,100,10,Product,ATDemo,Set3,Square,,,,,,
prod004,Product D,Products,Recommended Product Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product4.png,125,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product4.png,100,5,Product,ATDemo,Set4,Square,,,,,,
prod005,Product E,Products,Recommended Product Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product5.png,100,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product5.png,100,50,Product,ATDemo,Set5,Square,,,,,,
prod006,Product F,Products,Recommended Product Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product6.png,100,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product6.png,50,25,Product,ATDemo,Set6,Square,,,,,,
prod007,Product G,Products,Recommended Product Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product7.png,75,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product7.png,50,10,Product,ATDemo,Set7,Square,,,,,,
prod008,Product H,Products,Recommended Product Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product8.png,75,https://raw.githubusercontent.com/pillaidemo/iscat/main/Product8.png,50,5,Product,ATDemo,Set8,Square,,,,,,
content001,Content A,Content,Recommended Content Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content1.png,50,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content1.png,50,50,Content,ATDemo,Set1,Square,,,,,,
content002,Content B,Content,Recommended Content Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content2.png,50,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content2.png,50,25,Content,ATDemo,Set2,Square,,,,,,
content003,Content C,Content,Recommended Content Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content3.png,25,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content3.png,20,10,Content,ATDemo,Set3,Square,,,,,,
content004,Content D,Content,Recommended Content Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content4.png,25,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content4.png,20,5,Content,ATDemo,Set4,Square,,,,,,
content005,Content E,Content,Recommended Content Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content5.png,150,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content5.png,20,50,Content,ATDemo,Set5,Square,,,,,,
content006,Content F,Content,Recommended Content Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content6.png,150,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content6.png,20,25,Content,ATDemo,Set6,Square,,,,,,
content007,Content G,Content,Recommended Content Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content7.png,125,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content7.png,20,10,Content,ATDemo,Set7,Square,,,,,,
content008,Content H,Content,Recommended Content Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content8.png,125,https://raw.githubusercontent.com/pillaidemo/iscat/main/Content8.png,10,5,Content,ATDemo,Set8,Square,,,,,,
offering001,Offering A,Offering,Recommended Offering Description,https://raw.githubusercontent.com/pillaidemo/iscat/main/Offering1.png,100,https://raw.githubusercontent.com/pillaidemo/iscat/main/Offering1.png,10,2,Offering,ATDemo,Set1,Square,,,,,,
